iter	Passed	Remaining
169	456	2228
170	458	2221
171	460	2214
172	461	2207
173	463	2200
174	465	2193
175	467	2187
176	468	2180
177	470	2174
178	472	2168
179	474	2162
180	476	2156
181	478	2150
182	480	2143
183	481	2136
184	483	2129
185	485	2123
186	487	2117
187	488	2111
188	490	2105
189	492	2099
190	494	2092
191	495	2087
192	497	2081
193	499	2075
194	501	2070
195	503	2066
196	505	2061
197	507	2056
198	509	2050
199	511	2046
200	513	2041
201	515	2036
202	517	2031
203	519	2026
204	521	2020
205	522	2014
206	524	2009
207	526	2003
208	528	1998
209	529	1992
210	531	1987
211	533	1982
212	535	1977
213	536	1971
214	538	1966
215	540	1961
216	542	1957
217	544	1952
218	546	1947
219	547	1942
220	549	1938
221	551	1934
222	553	1929
223	555	1924
224	557	1919
225	559	1914
226	560	1909
227	562	1904
228	564	1899
229	566	1895
230	567	1890
231	569	1885
232	571	1881
233	573	1876
234	574	1871
235	576	1867
236	578	1863
237	580	1859
238	582	1855
239	584	1850
240	586	1845
241	588	1842
242	590	1838
243	592	1835
244	594	1831
245	596	1827
246	598	1824
247	600	1820
248	602	1816
249	604	1812
250	606	1809
251	608	1805
252	609	1800
253	611	1796
254	613	1792
255	615	1788
256	617	1784
257	619	1780
258	620	1776
259	622	1772
260	624	1768
261	626	1764
262	628	1761
263	630	1757
264	632	1753
265	633	1749
266	635	1745
267	637	1741
268	639	1737
269	641	1733
270	643	1730
271	644	1726
272	646	1722
273	648	1718
274	650	1715
275	652	1711
276	654	1707
277	656	1704
278	657	1700
279	659	1696
280	661	1692
281	663	1688
282	665	1685
283	667	1682
284	669	1678
285	670	1675
286	672	1671
287	674	1667
288	676	1663
289	677	1659
290	679	1656
291	681	1652
292	684	1651
293	686	1648
294	688	1645
295	690	1641
296	692	1638
297	693	1634
298	695	1631
299	697	1627
300	699	1624
301	701	1621
302	703	1617
303	705	1614
304	707	1611
305	708	1607
306	710	1604
307	712	1600
308	714	1597
309	716	1593
310	717	1590
311	719	1587
312	721	1583
313	723	1580
314	725	1576
315	726	1573
316	728	1569
317	730	1566
318	732	1563
319	734	1560
320	735	1556
321	737	1553
322	739	1550
323	741	1547
324	743	1544
325	745	1540
326	747	1537
327	749	1534
328	750	1531
329	752	1527
330	754	1524
331	756	1521
332	757	1518
333	759	1515
334	761	1512
335	763	1508
336	765	1505
337	767	1502
338	768	1499
339	770	1496
340	772	1492
341	774	1489
342	776	1486
343	778	1483
344	780	1481
345	782	1478
346	784	1475
347	785	1472
348	787	1469
349	789	1466
350	792	1464
351	793	1461
352	795	1458
353	797	1455
354	799	1453
355	801	1450
356	804	1448
357	806	1445
358	808	1443
359	810	1440
360	812	1437
361	814	1435
362	816	1432
363	818	1430
364	820	1427
365	822	1424
366	824	1421
367	826	1419
368	828	1416
369	830	1413
370	832	1410
371	833	1407
372	835	1404
373	837	1401
374	839	1399
375	841	1396
376	843	1393
377	844	1390
378	846	1387
379	848	1384
380	850	1381
381	851	1377
382	853	1374
383	855	1371
384	857	1369
385	858	1366
386	860	1363
387	862	1360
388	864	1357
389	866	1354
390	867	1351
391	869	1348
392	871	1345
393	873	1342
394	874	1339
395	876	1337
396	878	1334
397	880	1331
398	882	1328
399	884	1326
400	886	1323
401	887	1320
402	889	1318
403	891	1315
404	893	1312
405	895	1310
406	897	1307
407	899	1305
408	901	1302
409	903	1299
410	905	1297
411	907	1294
412	909	1292
413	911	1289
414	913	1287
415	915	1285
416	917	1283
417	920	1281
418	922	1278
419	924	1276
420	926	1273
421	928	1271
422	930	1268
423	932	1266
424	933	1263
425	935	1261
426	937	1258
427	939	1256
428	941	1253
429	943	1251
430	945	1248
431	947	1245
432	949	1243
433	951	1240
434	953	1238
435	955	1235
436	957	1233
437	959	1230
438	961	1228
439	963	1225
440	964	1223
441	966	1220
442	968	1217
443	970	1215
444	972	1212
445	974	1210
446	976	1207
447	978	1205
448	980	1203
449	982	1200
450	984	1198
451	986	1195
452	988	1193
453	990	1190
454	992	1188
455	994	1186
456	996	1183
457	998	1181
458	1000	1179
459	1002	1176
460	1004	1174
461	1006	1172
462	1009	1170
463	1011	1167
464	1013	1165
465	1014	1163
466	1017	1161
467	1019	1158
468	1021	1156
469	1023	1153
470	1025	1151
471	1027	1149
472	1029	1146
473	1031	1144
474	1033	1141
475	1035	1139
476	1037	1137
477	1039	1135
478	1041	1132
479	1043	1130
480	1045	1128
481	1047	1125
482	1049	1123
483	1051	1121
484	1053	1118
485	1055	1116
486	1057	1114
487	1059	1111
488	1061	1109
489	1064	1107
490	1065	1105
491	1067	1102
492	1070	1100
493	1071	1098
494	1073	1095
495	1075	1093
496	1077	1090
497	1080	1089
498	1082	1087
499	1084	1084
500	1087	1082
501	1089	1080
502	1091	1078
503	1094	1077
504	1097	1075
505	1099	1073
506	1102	1071
507	1104	1070
508	1107	1068
509	1110	1067
510	1113	1065
511	1116	1064
512	1119	1062
513	1122	1061
514	1124	1059
515	1127	1057
516	1130	1055
517	1132	1053
518	1135	1051
519	1137	1049
520	1139	1047
521	1141	1045
522	1144	1043
523	1147	1042
524	1149	1039
525	1151	1037
526	1153	1035
527	1155	1032
528	1156	1029
529	1158	1027
530	1160	1025
531	1162	1022
532	1164	1020
533	1166	1017
534	1167	1015
535	1169	1012
536	1171	1010
537	1173	1007
538	1175	1005
539	1176	1002
540	1178	1000
541	1180	997
542	1182	995
543	1184	993
544	1186	990
545	1188	988
546	1190	986
547	1192	983
548	1194	981
549	1196	978
550	1198	976
551	1200	974
552	1202	971
553	1204	969
554	1206	967
555	1208	965
556	1210	963
557	1212	960
558	1214	958
559	1216	956
560	1219	954
561	1221	951
562	1223	949
563	1225	947
564	1227	944
565	1229	942
566	1231	940
567	1233	937
568	1234	935
569	1236	933
570	1238	930
571	1240	928
572	1242	925
573	1244	923
574	1245	920
575	1247	918
576	1249	916
577	1251	913
578	1253	911
579	1254	908
580	1256	906
581	1258	904
582	1260	901
583	1262	899
584	1264	896
585	1266	894
586	1267	892
587	1269	889
588	1271	887
589	1273	884
590	1275	882
591	1277	880
592	1278	877
593	1280	875
594	1282	872
595	1284	870
596	1285	868
597	1287	865
598	1289	863
599	1291	861
600	1293	858
601	1295	856
602	1297	854
603	1299	851
604	1301	849
605	1302	847
606	1304	844
607	1306	842
608	1308	840
609	1310	837
610	1312	835
611	1314	833
612	1315	830
613	1317	828
614	1320	826
615	1322	824
616	1323	821
617	1326	819
618	1327	817
619	1330	815
620	1332	812
621	1333	810
622	1335	808
623	1338	806
624	1339	803
625	1341	801
626	1343	799
627	1345	796
628	1347	794
629	1348	792
630	1350	789
631	1352	787
632	1353	784
633	1355	782
634	1357	780
635	1359	777
636	1360	775
637	1362	773
638	1364	770
639	1366	768
640	1367	766
641	1369	763
642	1371	761
643	1373	759
644	1375	757
645	1377	754
646	1378	752
647	1381	750
648	1383	748
649	1385	745
650	1387	743
651	1389	741
652	1391	739
653	1393	737
654	1395	734
655	1397	732
656	1399	730
657	1401	728
658	1403	726
659	1405	723
660	1407	721
661	1409	719
662	1411	717
663	1413	715
664	1415	713
665	1417	711
666	1419	708
667	1421	706
668	1423	704
669	1425	702
670	1427	699
671	1429	697
672	1431	695
673	1433	693
674	1435	691
675	1437	688
676	1439	686
677	1440	684
678	1443	682
679	1445	680
680	1447	677
681	1449	675
682	1451	673
683	1453	671
684	1455	669
685	1457	666
686	1459	664
687	1461	662
688	1463	660
689	1464	658
690	1467	656
691	1469	653
692	1471	651
693	1473	649
694	1476	647
695	1478	645
696	1480	643
697	1482	641
698	1484	639
699	1486	637
700	1488	634
701	1490	632
702	1492	630
703	1494	628
704	1496	626
705	1498	624
706	1500	621
707	1502	619
708	1504	617
709	1506	615
710	1507	612
711	1509	610
712	1511	608
713	1513	606
714	1515	604
715	1517	601
716	1519	599
717	1520	597
718	1522	595
719	1524	592
720	1525	590
721	1527	588
722	1529	586
723	1531	583
724	1533	581
725	1535	579
726	1536	577
727	1538	574
728	1540	572
729	1542	570
730	1543	568
731	1545	565
732	1547	563
733	1549	561
734	1551	559
735	1553	557
736	1555	555
737	1557	552
738	1558	550
739	1560	548
740	1562	546
741	1564	543
742	1566	541
743	1567	539
744	1569	537
745	1571	535
746	1573	532
747	1574	530
748	1576	528
749	1579	526
750	1581	524
751	1583	522
752	1585	520
753	1587	518
754	1589	515
755	1591	513
756	1594	511
757	1596	509
758	1598	507
759	1600	505
760	1602	503
761	1605	501
762	1607	499
763	1609	497
764	1611	495
765	1613	493
766	1615	490
767	1618	488
768	1620	486
769	1622	484
770	1624	482
771	1626	480
772	1628	478
773	1630	476
774	1632	473
775	1634	471
776	1636	469
777	1637	467
778	1640	465
779	1642	463
780	1645	461
781	1647	459
782	1649	457
783	1651	454
784	1652	452
785	1654	450
786	1656	448
787	1658	446
788	1660	444
789	1662	441
790	1664	439
791	1666	437
792	1668	435
793	1670	433
794	1672	431
795	1674	429
796	1675	426
797	1677	424
798	1679	422
799	1681	420
800	1683	418
801	1685	416
802	1687	413
803	1688	411
804	1690	409
805	1692	407
806	1694	405
807	1696	403
808	1698	400
809	1700	398
810	1702	396
811	1704	394
812	1705	392
813	1707	390
814	1709	388
815	1711	385
816	1713	383
817	1715	381
818	1717	379
819	1719	377
820	1721	375
821	1723	373
822	1725	371
823	1727	369
824	1729	366
825	1731	364
826	1733	362
827	1736	360
828	1738	358
829	1740	356
830	1742	354
831	1744	352
832	1746	350
833	1748	348
834	1750	345
835	1752	343
836	1754	341
837	1756	339
838	1758	337
839	1760	335
840	1762	333
841	1764	331
842	1766	329
843	1768	326
844	1770	324
845	1772	322
846	1775	320
847	1778	318
848	1780	316
849	1782	314
850	1785	312
851	1787	310
852	1789	308
853	1792	306
854	1794	304
855	1797	302
856	1799	300
857	1801	298
858	1804	296
859	1806	294
860	1808	292
861	1811	289
862	1813	287
863	1816	285
864	1818	283
865	1820	281
866	1823	279
867	1825	277
868	1827	275
869	1829	273
870	1830	271
871	1832	269
872	1834	266
873	1836	264
874	1838	262
875	1840	260
876	1842	258
877	1844	256
878	1846	254
879	1847	251
880	1849	249
881	1851	247
882	1853	245
883	1855	243
884	1857	241
885	1859	239
886	1861	237
887	1863	235
888	1865	232
889	1867	230
890	1869	228
891	1871	226
892	1873	224
893	1875	222
894	1877	220
895	1879	218
896	1881	216
897	1883	213
898	1885	211
899	1887	209
900	1890	207
901	1892	205
902	1894	203
903	1896	201
904	1898	199
905	1901	197
906	1903	195
907	1905	193
908	1907	190
909	1908	188
910	1910	186
911	1912	184
912	1914	182
913	1916	180
914	1918	178
915	1920	176
916	1922	173
917	1924	171
918	1926	169
919	1928	167
920	1929	165
921	1931	163
922	1933	161
923	1935	159
924	1937	157
925	1939	155
926	1941	152
927	1943	150
928	1945	148
929	1947	146
930	1949	144
931	1951	142
932	1953	140
933	1955	138
934	1957	136
935	1958	133
936	1960	131
937	1962	129
938	1964	127
939	1966	125
940	1968	123
941	1970	121
942	1973	119
943	1975	117
944	1977	115
945	1980	113
946	1982	110
947	1984	108
948	1986	106
949	1988	104
950	1991	102
951	1993	100
952	1996	98
953	1998	96
954	2001	94
955	2003	92
956	2005	90
957	2008	88
958	2010	85
959	2012	83
960	2015	81
961	2017	79
962	2020	77
963	2022	75
964	2024	73
965	2027	71
966	2029	69
967	2031	67
968	2033	65
969	2035	62
970	2037	60
971	2039	58
972	2041	56
973	2043	54
974	2045	52
975	2047	50
976	2050	48
977	2051	46
978	2053	44
979	2055	41
980	2057	39
981	2059	37
982	2061	35
983	2063	33
984	2065	31
985	2067	29
986	2068	27
987	2070	25
988	2072	23
989	2074	20
990	2076	18
991	2078	16
992	2080	14
993	2082	12
994	2084	10
995	2086	8
996	2088	6
997	2090	4
998	2092	2
999	2094	0
