iter	RMSE
510	66254.26667
511	66218.81525
512	66202.40445
513	66170.90437
514	66160.11856
515	66144.64304
516	66121.76663
517	66067.89775
518	66036.94257
519	66033.34441
520	66029.85918
521	65935.61702
522	65885.42854
523	65857.00474
524	65769.71778
525	65721.74488
526	65640.61656
527	65554.75709
528	65548.86135
529	65502.2877
530	65487.16773
531	65401.61573
532	65391.01474
533	65347.9914
534	65335.53327
535	65290.77125
536	65267.08556
537	65213.8676
538	65183.74216
539	65110.12862
540	65068.35894
541	65054.23842
542	65044.49875
543	65021.31412
544	64985.77367
545	64959.50556
546	64943.82177
547	64930.60755
548	64875.5508
549	64847.48251
550	64769.33118
551	64748.51578
552	64736.52709
553	64679.2865
554	64664.78107
555	64615.65455
556	64575.3692
557	64564.11341
558	64517.75331
559	64447.42274
560	64429.24118
561	64364.07065
562	64356.78031
563	64326.19882
564	64265.59139
565	64221.88703
566	64216.59807
567	64162.55661
568	64142.1998
569	64109.03404
570	64053.7561
571	64036.74539
572	63962.18181
573	63950.93454
574	63834.77844
575	63817.26145
576	63778.57508
577	63773.51693
578	63768.69815
579	63753.96174
580	63708.71035
581	63701.65622
582	63689.37393
583	63676.8192
584	63645.24341
585	63628.05804
586	63608.83738
587	63579.54277
588	63555.94397
589	63543.92586
590	63527.22068
591	63493.8322
592	63490.07873
593	63468.48213
594	63417.13011
595	63403.25631
596	63398.81467
597	63351.44081
598	63289.10112
599	63222.50397
600	63212.31769
601	63193.58166
602	63172.50083
603	63135.06521
604	63125.19868
605	63115.65361
606	63098.52558
607	63040.91807
608	63002.86203
609	62981.68451
610	62961.49387
611	62902.48997
612	62893.22241
613	62874.04114
614	62844.58864
615	62827.83239
616	62818.85767
617	62802.96921
618	62792.82695
619	62747.41983
620	62744.89712
621	62729.00821
622	62726.56428
623	62717.72966
624	62709.04872
625	62694.17249
626	62685.76246
627	62669.97068
628	62577.64127
629	62545.28704
630	62542.91368
631	62540.61453
632	62538.38719
633	62494.31914
634	62476.50089
635	62454.00432
636	62405.56013
637	62392.13201
638	62381.74861
639	62373.81753
640	62366.13776
641	62358.65042
642	62334.31382
643	62318.9633
644	62260.57405
645	62258.4623
646	62256.42078
647	62231.21088
648	62211.73459
649	62202.50472
650	62193.34248
651	62186.55124
652	62145.30759
653	62125.38504
654	62093.06471
655	62057.88385
656	62004.93315
657	61986.67732
658	61971.2327
659	61964.79784
660	61949.37628
661	61943.14525
662	61903.49133
663	61883.96213
664	61846.75257
665	61797.25572
666	61762.9583
667	61742.98063
668	61715.19464
669	61665.7315
670	61662.93302
671	61645.1944
672	61632.68982
673	61603.34099
674	61575.31744
675	61545.6406
676	61517.34396
677	61467.36755
678	61434.29915
679	61422.47867
680	61398.09327
681	61347.70091
682	61301.95851
683	61287.99165
684	61261.55833
685	61244.80158
686	61227.30011
687	61215.37775
688	61204.855
689	61187.05433
690	61100.22218
691	61071.74323
692	61055.14443
693	60993.64581
694	60976.91829
695	60950.11107
696	60917.28963
697	60887.18505
698	60868.88547
699	60853.28299
700	60835.99301
701	60822.57812
702	60775.39782
703	60769.64832
704	60764.08256
705	60719.25103
706	60713.81132
707	60708.58061
708	60675.16672
709	60648.11373
710	60633.4308
711	60624.17491
712	60606.56626
713	60601.45002
714	60593.48946
715	60569.16576
716	60544.40625
717	60521.50259
718	60516.39755
719	60494.97165
720	60485.63463
721	60462.76457
722	60441.14737
723	60435.85397
724	60420.29096
725	60392.73674
726	60380.6463
727	60337.60938
728	60325.14235
729	60310.74419
730	60292.39354
731	60283.29315
732	60268.28682
733	60257.17032
734	60248.48037
735	60227.79067
736	60204.45248
737	60200.65951
738	60179.99785
739	60162.31663
740	60158.71148
741	60117.73678
742	60098.68795
743	60081.75803
744	60078.40896
745	60020.22888
746	60007.24992
747	60003.92276
748	59963.50408
749	59931.23527
750	59876.26182
751	59856.15658
752	59801.48316
753	59758.95642
754	59753.70664
755	59745.76753
756	59729.4245
757	59687.7403
758	59663.07352
759	59623.1827
760	59579.95285
761	59499.617
762	59490.65129
763	59483.10327
764	59430.98447
765	59391.99946
766	59380.42568
767	59361.28411
768	59326.08997
769	59276.86475
770	59266.37476
771	59251.79842
772	59220.30311
773	59215.53601
774	59198.47794
775	59184.10972
776	59172.01653
777	59156.97111
778	59133.62441
779	59109.87437
780	59098.62591
781	59083.74439
782	59068.61983
783	59054.04363
784	59038.02271
785	58998.83073
786	58968.20374
787	58958.95706
788	58949.2224
789	58939.87606
790	58915.87035
791	58900.71842
792	58873.13405
793	58854.53247
794	58847.97332
795	58822.91911
796	58801.44275
797	58779.12735
798	58770.24663
799	58757.10745
800	58733.91928
801	58722.59755
802	58676.58252
803	58673.77841
804	58636.34838
805	58618.5158
806	58603.79089
807	58590.16946
808	58584.07098
809	58575.365
810	58556.55362
811	58546.2275
812	58531.82014
813	58514.7794
814	58501.36946
815	58494.10149
816	58481.0786
817	58444.23478
818	58407.72584
819	58396.95636
820	58379.3488
821	58331.22091
822	58325.7047
823	58312.77364
824	58269.14603
825	58259.11609
826	58239.14566
827	58205.84352
828	58137.07155
829	58130.75835
830	58123.739
831	58109.6632
832	58099.91455
833	58095.76918
834	58087.39617
835	58078.4689
836	58060.30288
837	58026.77017
838	58022.76212
839	58014.88856
840	58005.79007
841	57918.3049
842	57900.43305
843	57897.61458
844	57884.1385
845	57870.59239
846	57861.62328
847	57848.69018
848	57841.27437
849	57832.64383
850	57824.38976
851	57820.06986
852	57808.93848
853	57798.06651
854	57762.32895
855	57739.75337
856	57733.22707
857	57719.6536
858	57678.51626
859	57669.56324
860	57657.3233
861	57618.46662
862	57603.65353
863	57569.24563
864	57556.05212
865	57540.50932
866	57525.43413
867	57509.49464
868	57487.51145
869	57470.08624
870	57449.29398
871	57425.91961
872	57406.61987
873	57393.90493
874	57391.54588
875	57363.04631
876	57332.92848
877	57313.69679
878	57276.81821
879	57274.57074
880	57233.37135
881	57229.76465
882	57217.67423
883	57210.52277
884	57195.98803
885	57181.11139
886	57169.73409
887	57137.6724
888	57126.25447
889	57118.80049
890	57110.07323
891	57098.50645
892	57064.46474
893	57056.24595
894	57045.36513
895	57036.54688
896	57005.71758
897	56992.47877
898	56982.17455
899	56975.97821
900	56952.66643
901	56950.87362
902	56921.24807
903	56914.51557
904	56904.095
905	56849.0207
906	56842.70662
907	56831.0208
908	56818.2646
909	56810.71737
910	56789.29679
911	56773.07512
912	56754.37195
913	56740.15601
914	56732.37851
915	56724.68737
916	56678.82193
917	56668.33454
918	56652.97842
919	56643.51312
920	56631.28894
921	56621.56823
922	56609.27281
923	56602.08918
924	56588.32297
925	56562.10044
926	56551.60131
927	56526.24168
928	56491.20177
929	56483.38219
930	56454.84352
931	56446.86118
932	56441.2627
933	56400.75469
934	56385.79003
935	56378.11749
936	56358.47182
937	56346.6236
938	56323.34233
939	56297.23275
940	56253.48226
941	56230.0141
942	56219.82468
943	56213.44622
944	56195.07518
945	56182.81891
946	56168.16389
947	56134.82778
948	56121.73395
949	56114.50708
950	56101.46243
951	56073.32226
952	56055.13645
953	56045.31853
954	56014.76655
955	56004.84049
956	55988.27966
957	55966.50982
958	55957.1122
959	55949.56718
960	55942.71707
961	55931.56956
962	55922.51377
963	55916.35851
964	55902.24758
965	55887.51988
966	55880.13859
967	55862.84876
968	55857.3056
969	55834.08133
970	55820.54261
971	55802.12339
972	55796.57248
973	55786.25083
974	55775.46221
975	55762.21556
976	55751.26317
977	55734.78138
978	55721.27358
979	55713.56962
980	55707.88739
981	55697.79189
982	55684.16568
983	55679.53747
984	55667.39701
985	55660.11914
986	55645.38957
987	55638.39548
988	55615.71001
989	55586.12491
990	55576.59674
991	55550.64656
992	55539.35272
993	55522.23352
994	55512.43801
995	55509.31564
996	55502.55544
997	55496.99518
998	55485.48633
999	55472.18318
